,original,stem+,stem,root
0,وَقَفَ,و+قف,قف,وقف
1,الطُّلابُ,ال+طلاب,طلاب,طلب
2,في,في,في,في
3,صُفوفٍ,صفوف,صفوف,صفف
4,مُرَتَّبَةٍ،,مرتبة,مرتبة,رتب
5,ثُمَّ,ثم,ثم,ثم
6,خَرَجوا,خرج+وا,خرج,خرج
7,إلى,الى,الى,الى
8,حَقْلٍ,حقل,حقل,حقل
9,قَرِيبٍ.,قريب,قريب,قرب
10,أَخَذوا,اخذ+وا,اخذ,اخذ
11,مَعَهُمْ,معهم,معهم,معهم
12,غِراسَ,غراس,غراس,غرس
13,التّينِ,ال+ت+ين,تين,تين
14,والخَوْخِ،,ال+خوخ,خوخ,خوخ
15,حَفَرَ,حفر,حفر,حفر
16,الطُّلابُ,ال+طلاب,طلاب,طلب
17,الأَرْضَ,ال+ارض,ارض,ارض
18,وَزَرَعوا,زرع+وا,زرع,زرع
19,الغِرَاسَ،,ال+غراس,غراس,غرس
20,ثمَّ,ثم,ثم,ثم
21,سَقَوْها,س+قو+ها,قو,سقو
22,المَاءَ.,ال+ماء,ماء,ماء
23,عادَ,عاد,عاد,عاد
24,الطُّلابُ,ال+طلاب,طلاب,طلب
25,إلى,الى,الى,الى
26,المَدْرَسَةِ,ال+مدرسة,مدرسة,درس
27,مسرورين.,مسرور+ين,مسرور,سرر
